아이디,한자,구자,부수,총획,학년,추가연도,삭제연도,발음,훈음,뜻
1443,抵,,手,8,S,,,テイ,막을 저,1.저촉되다 2.거역하다 3.상당하다 4.대개 5.무릇
1444,邸,,邑,8,S,,,テイ,집 저,
1445,亭,,亠,9,S,1981,,テイ,정자 정,1.역참 2.건물 3.높이솟은모양
1446,貞,,貝,9,S,,,テイ,곧을 정,1.마음이바르고충성스럽다 2.절개를지키다 3.동정
1447,帝,,巾,9,S,,,テイ,임금 제,
1448,訂,,言,9,S,,,テイ,바로잡을 정,고치다
1449,庭,,广,10,3,,,テイ、にわ,뜰 정,1.뜰 2.(특정한일을하는)장소 3.봉당 4.마당 5.터
1450,逓,遞,辵,10,S,,,テイ,갈릴 체,1.체송하다 2.차츰차츰 3.점점
1451,停,,人,11,5,,,テイ,머무를 정,1.멎다 2.정체하다 3.그만두게하다 4.머물다
1452,偵,,人,11,S,1981,,テイ,염탐할 정,1.염탐하다 2.탐정
1453,堤,,土,12,S,,,テイ、つつみ,둑 제,제방
1454,提,,手,12,5,,,テイ、さ-げる,끌 제,1.손에들다 2.제휴하다 3.제기하다 4.거느리다 5.범어(梵語)의음역(音譯)
1455,程,,禾,12,5,,,テイ、ほど,한도/ 길 정,1.(사물의)정도 2.(지나칠)정도 3.분수 4.무렵 5.(거리의)정도
1456,艇,,舟,13,S,,,テイ,배 정,1.작은배 2.보트
1457,締,,糸,15,S,,,テイ、し-まる、し-める,맺을 체,1.꼭묶다 2.맺다 3.약속하다
1458,諦,,言,16,S,2010,,テイ、あきら-める,살필 체,
1459,泥,,水,8,S,1981,,デイ、どろ,진흙 니,1.진흙 2.도둑 3.'どろぼう'의준말
1460,的,,白,8,4,,,テキ、まと,과녁 적,1.과녁 2.목표 3.맞다 4.확실하다 5.분명하다
1461,笛,,竹,11,3,,,テキ、ふえ,피리 적,1.피리 2.호각
1462,摘,,手,14,S,,,テキ、つ-む,딸 적,1.집어내다 2.뽑아내다 3.들추어내다 4.골라내다 5.폭로하다
1463,滴,,水,14,S,,,テキ、しずく、したた-る,물방울 적,
1464,適,,辵,14,5,,,テキ,대적할 적,1.가다 2.알맞다 3.맞다 4.즐기다 5.기뻐하다
1465,敵,,攴,15,6,,,テキ、かたき,맞을 적,1.적 2.경쟁자 3.라이벌 4.상대
1466,溺,,水,13,S,2010,,デキ、おぼ-れる,빠질 익,1.물에빠지다 2.지나치게열중하다 3.물에빠져죽다
1467,迭,,辵,8,S,,,テツ,경질할 질,1.바꾸다 2.서로바꾸다
1468,哲,,口,10,S,,,テツ,밝을 철,1.사물의도리에밝음 2.현명한사람 3.'哲学てつがく'의준말 4.도리를밝힘 5.식견이높고도리를규명한사람
1469,鉄,鐵,金,13,3,,,テツ,쇠 철,1.쇠 2.무기 3.굳어서움직이지않는다 4.'鉄道てつどう'의준말 5.도검
1470,徹,,彳,15,S,,,テツ,통할 철,1.통하다 2.밤샘 3.꿰뚫다 4.밤을밝힘
1471,撤,,手,15,S,,,テツ,거둘 철,1.버리다 2.철거하다 3.거두어가다 4.그만두다 5.제거하다
