아이디,한자,구자,부수,총획,학년,추가연도,삭제연도,발음,훈음,뜻
1656,半,,十,5,2,,,ハン、なか-ば,반 반,
1657,氾,,水,5,S,2010,,ハン,넘칠 범,
1658,犯,,犬,5,5,,,ハン、おか-す,범할 범,1.범하다 2.형을받은횟수를세는말 3.(불교에서)계율을어김 4.어기다
1659,帆,,巾,6,S,,,ハン、ほ,돛 범,돛
1660,汎,,水,6,S,2010,,ハン,넓을 범,
1661,伴,,人,7,S,,,ハン、バン、ともな-う,짝 반,
1662,判,,刀,7,5,,,ハン、バン,판단할 판,1.구별하다 2.재판 3.명확하다 4.도장 5.옛날금화(金貨)
1663,坂,,土,7,3,,,ハン、さか,언덕 판,1.비탈길 2.비탈 3.고갯길 4.경사
1664,阪,,阜,7,4,2010,,ハン,언덕 판,
1665,板,,木,8,3,,,ハン、バン、いた,널빤지 판,1.판자 2.(금속·유리등의)판 3.'板前いたまえ'의준말 4.'まないた'의준말 5.무대
1666,版,,片,8,5,,,ハン,판목 판,1.판 2.호적부 3.판목 4.인쇄해서책을만들다 5.글자를쓰는널판
1667,班,,玉,10,6,,,ハン,나눌 반,1.반 2.(수나순서를나타내는)반 3.조
1668,畔,,田,10,S,,,ハン,밭두둑 반,
1669,般,,舟,10,S,,,ハン,일반 반,1.두르다 2.나르다 3.사물의종류 4.돌다 5.옮기다
1670,販,,貝,11,S,,,ハン,팔 판,1.팔다 2.장사하다
1671,斑,,文,12,S,2010,,ハン,얼룩 반,
1672,飯,飯,食,12,4,,,ハン、めし,밥 반,1.밥 2.(끼니때먹는)밥 3.식사
1673,搬,,手,13,S,,,ハン,옮길 반,1.나르다 2.옮기다
1674,煩,,火,13,S,,,ハン、（ボン）、わずら-う、わずら-わす,번거로울 번,
1675,頒,,頁,13,S,,,ハン,나눌 반,1.나누어주다 2.얼룩 3.널리펴다
1676,範,,竹,15,S,,,ハン,법 범,1.틀 2.정해진구획 3.모범
1677,繁,繁,糸,16,S,,,ハン,번성할 번,나무가무성한곳
1678,藩,,艸,18,S,,,ハン,울타리 번,1.울타리 2.왕실의울이되는제후(諸侯) 3.경계를가르는담 4.일본의大名だいみょう
1679,晩,晚,日,12,6,,,バン,늦을 만,1.저녁 2.밤
1680,番,,田,12,2,,,バン,차례 번,1.차례 2.망을봄 3.순번
1681,蛮,蠻,虫,12,S,,,バン,오랑캐 만,1.남방의미개민족 2.미개한땅 3.난폭한 4.미개한민족 5.도리에어긋남
1682,盤,,皿,15,S,,,バン,소반 반,1.쟁반 2.물담는그릇 3.물건을올려놓는평평한대 4.평평한면을쓰는기구 5.장기판
1683,比,,比,4,5,,,ヒ、くら-べる,견줄 비,1.(우열·대소를)비교하다 2.대조하다 3.빗대다 4.나란하다 5.동류
1684,皮,,皮,5,3,,,ヒ、かわ,가죽 피,1.가죽 2.털가죽 3.(이불등의)껍데기 4.껍질 5.모피
1685,妃,,女,6,S,,,ヒ,왕비 비,1.임금의아내 2.부인의미칭 3.황족의배우자 4.황태자의아내
1686,否,,口,7,6,,,ヒ、いな,아닐 부,1.불찬성 2.아니 3.아니오
1687,批,,手,7,6,,,ヒ,비평할 비,1.치다 2.(선악을)판단하다 3.(군주나주권자가)인정하다 4.때리다
1688,彼,,彳,8,S,,,ヒ、かれ、（かの）,저 피,1.그 2.<고어>저것 3.<고어>저사람 4.<속어>그이 5.애인·남편을가리키는말
1689,披,,手,8,S,1981,,ヒ,헤칠 피,1.열다 2.보이다 3.흐트러뜨리다 4.쏠리다 5.털어놓다
1690,肥,,肉,8,5,,,ヒ、こ-える、こえ、こ-やす、こ-やし,살찔 비,1.비료 2.분뇨 3.거름
1691,非,,非,8,5,,,ヒ,아닐 비,1.잘못 2.불리 3.부정 4.비리
1692,卑,卑,十,9,S,,,ヒ、いや-しい、いや-しむ、いや-しめる,낮을 비,1.(신분이)낮음 2.(마음이)비열하다 3.(자기를)낮추어말함 4.가깝다
1693,飛,,飛,9,4,,,ヒ、と-ぶ、と-ばす,날 비,1.하늘을날다 2.뛰어오르다 3.튀기다 4.날듯빠르다 5.근거없다
1694,疲,,疒,10,S,,,ヒ、つか-れる,피곤할 피,1.지치다 2.약해지다
1695,秘,祕,示,10,6,,,ヒ、ひ-める,숨길 비,1.감추다 2.(사람의지혜로는)알수없다 3.알려지지않다
1696,被,,衣,10,S,,,ヒ、こうむ-る,입을 피,1.둘러쓰다 2.옷을입다 3.받다 4.피동을나타내는말
1697,悲,,心,12,3,,,ヒ、かな-しい、かな-しむ,슬플 비,1.슬픔 2.자비로움
1698,扉,,戶,12,S,1981,,ヒ、とびら,사립문 비,1.문 2.(책의)속표지 3.(잡지에서)본문앞의첫페이지
1699,費,,貝,12,5,,,ヒ、つい-やす、つい-える,쓸 비,1.금품을쓰다 2.비용
1700,碑,碑,石,14,S,,,ヒ,비석 비,1.비석 2.비문
1701,罷,,网,15,S,,,ヒ,마칠 파,1.중지하다 2.사직시키다
1702,避,,辵,16,S,,,ヒ、さ-ける,피할 피,1.피하다 2.도망하여숨다
1703,尾,,尸,7,S,,,ビ、お,꼬리 미,1.(동물의)꼬리 2.(사물의)꼬리 3.산기슭 4.(사물의)끝부분 5.끝
1704,眉,,目,9,S,2010,,ビ、（ミ）、まゆ,눈썹 미,눈썹
1705,美,,羊,9,3,,,ビ、うつく-しい,아름다울 미,1.아름답다 2.훌륭하다 3.맛좋다 4.칭찬하다 5.감성과이성이조화된순수한느낌
1706,備,,人,12,5,,,ビ、そな-える、そな-わる,갖출 비,1.미리갖추다 2.마련하다 3.갖추어지다 4.대비 5.보충하다
1707,微,,彳,13,S,,,ビ,작을 미,1.극히적음 2.가늘고약하다 3.신분이천하다 4.슬며시 5.약해지다
1708,鼻,,鼻,14,3,,,ビ、はな,코 비,코
1709,膝,,肉,15,S,2010,,ひざ,무릎 슬,무릎
1710,肘,,肉,7,S,2010,,ひじ,팔꿈치 주,
1711,匹,,匸,4,S,,,ヒツ、ひき,짝 필,
1712,必,,心,5,4,,,ヒツ、かなら-ず,반드시 필,
1713,泌,,水,8,S,,,ヒツ、ヒ,분비할 비/ 스며흐를 필,
1714,筆,,竹,12,3,,,ヒツ、ふで,붓 필,1.붓 2.붓으로씀 3.글을씀 4.또는붓으로쓰거나그린글씨·그림 5.또는그글
1715,姫,姬,女,10,S,,,ひめ,계집 희,1.귀인의딸 2.<고어>여자의미칭
1716,百,,白,6,1,,,ヒャク,일백 백,1.백 2.충분함
1717,氷,,水,5,3,,,ヒョウ、こおり、ひ,얼음 빙,얼음
1718,表,,衣,8,3,,,ヒョウ、おもて、あらわ-す、あらわ-れる,겉 표,1.겉 2.나타나다 3.표 4.모범 5.표면에나서다
1719,俵,,人,10,6,,,ヒョウ、たわら,나누어 줄 표,1.(쌀·숯등을넣는)섬 2.멱서리
1720,票,,示,11,4,,,ヒョウ,표 표,
1721,評,,言,12,5,,,ヒョウ,평할 평,
1722,漂,,水,14,S,,,ヒョウ、ただよ-う,떠다닐 표,1.떠돌다 2.바래다 3.표류하다
1723,標,,木,15,4,,,ヒョウ,표할 표,
1724,苗,,艸,8,S,,,ビョウ、なえ、（なわ）,모 묘,1.모종 2.볏모
1725,秒,,禾,9,3,,,ビョウ,분초 초,1.시간의단위 2.각도·경도·위도의단위 3.까끄라기 4.극히미세한것
1726,病,,疒,10,3,,,ビョウ、（ヘイ）、や-む、やまい,병 병,1.병 2.나쁜버릇 3.근심거리
1727,描,,手,11,S,,,ビョウ、えが-く、か-く,그릴 묘,1.그리다 2.옮기다
1728,猫,,犬,11,S,1981,,ビョウ、ねこ,고양이 묘,1.고양이 2.(이불속에넣는)질화로 3.'芸者げいしゃ'의딴이름 4.일륜차 5.'ねこぐるま'의준말
1729,品,,口,9,3,,,ヒン、しな,물건 품,1.물건 2.인품 3.물건의종류 4.등급을정함 5.(불전(佛典)의)편(編)
1730,浜,濱,水,10,S,,,ヒン、はま,물가 빈,1.호숫가 2.(바둑에서)따낸돌 3.<속어>항구 4.특히横浜よこはま 5.바닷가
1731,貧,,貝,11,5,,,ヒン、ビン、まず-しい,가난할 빈,1.가난하다 2.부족함 3.결핍됨
1732,賓,賓,貝,15,S,,,ヒン,손 빈,
1733,頻,頻,頁,17,S,1981,,ヒン,자주 빈,1.자주 2.찌푸리다 3.물가 4.연속적으로 5.찡그리다
1734,敏,敏,攴,10,S,,,ビン,민감할 민,1.빠르다 2.총명하다 3.잽싸다 4.영리하다
1735,瓶,甁,瓦,11,S,1981,,ビン,병 병,
1736,不,,一,4,4,,,フ、ブ,아니 불/ 아니 부,(관용음은ブ)부정의의미
1737,夫,,大,4,4,,,フ、（フウ）、おっと,지아비 부,
1738,父,,父,4,2,,,フ、ちち,아비 부,1.아버지 2.부친 3.(비유적으로)아버지 4.성부(聖父) 5.선구자
1739,付,,人,5,4,,,フ、つ-ける、つ-く,줄 부,1.붙이다 2.부탁하다 3.주다 4.덧붙이다 5.의지하다
1740,布,,巾,5,5,,,フ、ぬの,베 포,1.천 2.무명 3.삼베 4.옷감 5.직물
1741,扶,,手,7,S,,,フ,도울 부,1.돕다 2.큰바람
1742,府,,广,8,4,,,フ,마을 부,1.곳간 2.관청 3.수도 4.사람이나물건이모이는곳 5.중국에서
1743,怖,,心,8,S,,,フ、こわ-い,두려워할 포,
1744,阜,,阜,8,4,2010,,（フ）,언덕 부,
1745,附,,阜,8,S,,,フ,붙을 부,
1746,訃,,言,9,S,2010,,フ,부고 부,사망통지
1747,負,,貝,9,3,,,フ、ま-ける、ま-かす、お-う,질 부,1.지다 2.입다 3.빚 4.의지 5.배반하다
1748,赴,,走,9,S,,,フ、おもむ-く,갈 부,1.가다 2.사람의죽음을알리다 3.당도하다 4.사망통지
1749,浮,,水,10,S,,,フ、う-く、う-かれる、う-かぶ、う-かべる,뜰 부,1.(물에)뜨다 2.(공중에)뜨다 3.덧없다 4.떠돌다 5.경솔하다
1750,婦,,女,11,5,,,フ,며느리 부,1.여자 2.부인 3.여성 4.아내
1751,符,,竹,11,S,,,フ,부호 부,1.부절(符節) 2.표 3.증거 4.상서로운조짐 5.인장
1752,富,,宀,12,4,,,フ、（フウ）、と-む、とみ,부유할 부,1.부 2.자원 3.재산
1753,普,,日,12,S,,,フ,넓을 보,1.널리미치다 2.보통 3.보통의
1754,腐,,肉,14,S,,,フ、くさ-る、くさ-れる、くさ-らす,썩을 부,1.썩다 2.진부하다 3.속을썩이다 4.남자를거세하는형벌 5.쓸모없다
1755,敷,,攴,15,S,,,フ、し-く,펼 부,"1.그릇밑에까는것 2.배의바닥널 3.｢敷金しききん｣ ‧｢敷地しきち｣ ‧｢敷しき布団ぶとん｣의준말 4.초겨울무렵,밤바다에고기떼가하얗게보이는것 5.깔개"
1756,膚,,肉,15,S,,,フ,살갗 부,
1757,賦,,貝,15,S,,,フ,부세 부,
1758,譜,,言,19,S,,,フ,족보 보,악보
1759,侮,侮,人,8,S,,,ブ、あなど-る,업신여길 모,1.업신여기다 2.멸시하다 3.업신여김
1760,武,,止,8,5,,,ブ、ム,호반 무,1.용맹스럽다 2.전술 3.군인 4.병기 5.발걸음
1761,部,,邑,11,3,,,ブ,떼 부,1.구분하다 2.관청·회사등의직무구분의하나 3.(군대의)조(組) 4.무리 5.그룹
1762,舞,,舛,15,S,,,ブ、ま-う、まい,춤출 무,1.춤 2.무용
1763,封,,寸,9,S,,,フウ、ホウ,봉할 봉,1.경계 2.봉하다 3.흙무덤 4.(봉투를)봉하다 5.닫다
1764,風,,風,9,2,,,フウ、（フ）、かぜ、（かざ）,바람 풍,1.바람 2.가르침 3.관습 4.모습 5.취미
1765,伏,,人,6,S,,,フク、ふ-せる、ふ-す,엎드릴 복,1.머리를숙이다 2.숨다 3.따르다 4.음력6월의절기이름 5.감추다
1766,服,,月,8,3,,,フク,옷 복,1.옷 2.몸에지니다 3.마음에간직하여잊지않다 4.복종하다 5.따르다
1767,副,,刀,11,4,,,フク,버금 부,1.따르다 2.부본 3.부차적인 4.곁에서시중들다
1768,幅,,巾,12,S,,,フク、はば,폭 폭,
1769,復,,彳,12,5,,,フク,회복할 복/ 다시 부,
1770,福,福,示,13,3,,,フク,복 복,
1771,腹,,肉,13,6,,,フク、はら,배 복,1.(동물의)배 2.(모태로서의)배 3.뱃속 4.배짱 5.기분
1772,複,,衣,14,5,,,フク,겹칠 복,1.겹치다 2.겹옷 3.재차 4.복수
1773,覆,,襾,18,S,,,フク、おお-う、くつがえ-す、くつがえ-る,뒤집힐 복/ 덮을 부,1.덮다 2.뒤엎다 3.되풀이하다 4.고하다 5.덮어씌우다
1774,払,拂,手,5,S,,,フツ、はら-う,떨칠 불,1.털다 2.닦다 3.날이샘 4.제거해버리다 5.씻다
1775,沸,,水,8,S,,,フツ、わ-く、わ-かす,끓을 비,1.끓다 2.물이솟아나오다 3.끓어오르다
1776,仏,佛,人,4,5,,,ブツ、ほとけ,부처 불,1.부처 2.석가 3.비슷함 4.불타(佛陀)의준말
1777,物,,牛,8,3,,,ブツ、モツ、もの,물건 물,1.(어떤형태를갖춘)것 2.(소유하는)것 3.(대상을막연하게가리키는)일 4.어쩐지그런느낌이든다는뜻을나타냄 5.(불평·불만등을내포한채호소하는뜻을나타냄) …걸요
1778,粉,,米,10,5,,,フン、こ、こな,가루 분,1.가루 2.분말
1779,紛,,糸,10,S,,,フン、まぎ-れる、まぎ-らす、まぎ-らわす、まぎ-らわしい,어지러울 분,1.혼돈되다 2.번잡하다 3.왕성한모양 4.헷갈리다 5.어수선하다
1780,雰,,雨,12,S,1981,,フン,눈날릴 분,1.대기 2.공기
1781,噴,,口,15,S,,,フン、ふ-く,뿜을 분,1.뿜다 2.내뿜다
1782,墳,,土,15,S,,,フン,무덤 분,1.무덤 2.언덕
1783,憤,,心,15,S,,,フン、いきどお-る,분할 분,1.분개하다 2.분발하다 3.분노 4.노염
1784,奮,,大,16,6,,,フン、ふる-う,떨칠 분,1.분발하다 2.노하다 3.날다 4.용기를내다
1785,分,,刀,4,2,,,ブン、フン、ブ、わ-ける、わ-かれる、わ-かる、わ-かつ,나눌 분,1.나누다 2.가르다 3.분간하다 4.쪼개다 5.갈라짐
1786,文,,文,4,1,,,ブン、モン、ふみ,글월 문,1.문 2.글 3.센텐스 4.문장
1787,聞,,耳,14,2,,,ブン、モン、き-く、き-こえる,들을 문,1.듣다 2.들리다 3.들어서알다 4.소문나다 5.윗사람에게알려지다
1788,丙,,一,5,S,,,ヘイ,남녘 병,
1789,平,,干,5,3,,,ヘイ、ビョウ、たい-ら、ひら,평평할 평,1.평평함 2.평 3.또는그런것 4.보통
1790,兵,,八,7,4,,,ヘイ、ヒョウ,병사 병,1.무기 2.무사 3.싸움 4.군인 5.전쟁
1791,併,倂,人,8,S,,,ヘイ、あわ-せる,아우를 병,1.나란히하다 2.양쪽을취하다 3.양립하다 4.합치다
1792,並,,一,8,6,,,ヘイ、なみ、なら-べる、なら-ぶ、なら-びに,나란히 병,1.나란히서다 2.아울러 3.나란히하다 4.함께 5.함께가다
1793,柄,,木,9,S,,,ヘイ、がら、え,자루 병,1.몸집 2.무늬 3.품위 4.제격 5.체격
1794,陛,,阜,10,6,,,ヘイ,대궐 섬돌 폐,
1795,閉,,門,11,6,,,ヘイ、と-じる、と-ざす、し-める、し-まる,닫을 폐,1.닫다 2.마치다 3.갇히다 4.잠그다 5.끝내다
1796,塀,塀,土,12,S,1981,,ヘイ,담 병,1.울타리 2.담
1797,幣,,巾,15,S,,,ヘイ,화폐 폐,
1798,弊,,廾,15,S,,,ヘイ,폐단 폐,
1799,蔽,,艸,15,S,2010,,ヘイ,덮을 폐,1.덮다 2.씌우개 3.덮어서숨기다 4.덮개 5.울타리
1800,餅,,食,15,S,2010,,ヘイ、もち,떡 병,떡
1801,米,,米,6,2,,,ベイ、マイ、こめ,쌀 미,쌀
1802,壁,,土,16,S,,,ヘキ、かべ,벽 벽,1.벽 2.흙벽 3.난관 4.두부 5.궁중말임
1803,璧,,玉,18,S,2010,,ヘキ,구슬 벽,"1.벽 2.중앙에구멍이있는원판모양으로만든옥이나유리제품 3.은(殷)대부터한(漢)대에걸쳐서제기(祭器) ‧장식품‧부장품,신분을나타내는표지로사용했다 4.신석기시대의바퀴날도끼에서기원한다 5.와운(渦雲,포벽(蒲璧)) ‧곡식입자(穀粒子,곡벽(穀璧))등의문양이있다"
1804,癖,,疒,18,S,,,ヘキ、くせ,버릇 벽,1.버릇 2.특징 3.(머리칼의)버릇 4.습관 5.결점
1805,別,,刀,7,4,,,ベツ、わか-れる,나눌 별,1.구별 2.다름 3.특별 4.제외 5.별도
1806,蔑,,艸,14,S,2010,,ベツ、さげす-む,업신여길 멸,멸시하다
1807,片,,片,4,6,,,ヘン、かた,조각 편,1.한쪽 2.조각 3.아주작은것 4.반쪽 5.토막
1808,辺,邊,辵,5,4,,,ヘン、あた-り、べ,가 변,1.가 2.벽지 3.끝 4.가장자리 5.변
1809,返,,辵,7,3,,,ヘン、かえ-す、かえ-る,돌이킬 반,1.돌려주다 2.반사하다
1810,変,變,言,9,4,,,ヘン、か-わる、か-える,변할 변,1.변 2.변고 3.플랫 4.기호b 5.이상함
1811,偏,,人,11,S,,,ヘン、かたよ-る,치우칠 편,1.치우치다 2.외고집 3.변 4.한자의왼쪽부수(部首)
1812,遍,,辵,12,S,,,ヘン,두루 편,골고루미치다
1813,編,,糸,15,5,,,ヘン、あ-む,엮을 편,1.엮다 2.짜다 3.철끈 4.서적 5.편집하다
1814,弁,辨瓣辯,辛瓜辛,5,5,,,ベン,말씀 변,1.관(冠) 2.분별하다 3.구별하다 4.변상하다 5.꽃잎
1815,便,,人,9,4,,,ベン、ビン、たよ-り,편할 편/오줌 변,1.(관용음)편 2.연줄(たより) 3.편지소식 4.교통‧운송기관 5.기대(たのみ)
1816,勉,勉,力,10,3,,,ベン,힘쓸 면,힘쓰다
1817,歩,步,止,8,2,,,ホ、ブ、（フ）、ある-く、あゆ-む,걸음 보,1.걷다 2.운 3.갯가 4.한걸음의길이(옛날에는두걸음의길이) 5.보
1818,保,,人,9,5,,,ホ、たも-つ,지킬 보,1.보전하다 2.보살피다 3.보서다 4.아이를봄 5.간직하다
1819,哺,,口,10,S,2010,,ホ,먹일 포,1.음식을입에머금는것 2.혹은그음식
1820,捕,,手,10,S,,,ホ、と-らえる、と-らわれる、と-る、つか-まえる、つか-まる,잡을 포,1.잡다 2.포수 3.'捕手ほしゅ'의준말 4.붙잡다
1821,補,,衣,12,6,,,ホ、おぎな-う,기울 보,1.깁다 2.수선하다 3.채우다 4.고치다 5.돕다
1822,舗,舖,舌,15,S,,,ホ,펼/가게 포,1.가게 2.깔다 3.점포
1823,母,,毋,5,2,,,ボ、はは,어머니 모,1.어머니 2.모 3.원천 4.모친 5.근원
1824,募,,力,12,S,,,ボ、つの-る,모을/뽑을 모,1.모으다 2.불러모으다
1825,墓,,土,13,5,,,ボ、はか,무덤 묘,1.무덤 2.묘
1826,慕,,心,14,S,,,ボ、した-う,그릴 모,1.사모하다 2.연모하다 3.추모하다 4.우러러받들다
1827,暮,,日,14,6,,,ボ、く-れる、く-らす,저물 모,1.저녁때 2.섣달그믐 3.계절의끝
1828,簿,,竹,19,S,,,ボ,문서 부,1.치부책 2.임금의행렬
1829,方,,方,4,2,,,ホウ、かた,모 방,1.방향 2.곳 3.방법 4.솜씨 5.처방
1830,包,,勹,5,4,,,ホウ、つつ-む,쌀 포,1.싸다 2.숨기다 3.둘러싸다 4.하나로묶다 5.받아들이다
1831,芳,,艸,7,S,,,ホウ、かんば-しい,꽃다울 방,1.향내가나다 2.명성이높다 3.젊은여자 4.남의것을높이는말 5.향기롭다
1832,邦,,邑,7,S,,,ホウ,나라 방,
1833,奉,,大,8,S,,,ホウ、（ブ）、たてまつ-る,받들 봉,1.바치다 2.받들다 3.모시다 4.준수하다
1834,宝,寶,宀,8,6,,,ホウ、たから,보배 보,1.보물 2.돈 3.보배
1835,抱,,手,8,S,,,ホウ、だ-く、いだ-く、かか-える,안을 포,1.안다 2.마음에품음 3.끌어안다
1836,放,,攴,8,3,,,ホウ、はな-す、はな-つ、はな-れる、ほう-る,놓을 방,1.풀어주다 2.용서하다 3.버리다 4.내쫓다 5.내다
1837,法,,水,8,4,,,ホウ、（ハッ）、（ホッ）,법 법,1.법률 2.규범 3.모범 4.법도 5.수단
1838,泡,,水,8,S,1981,,ホウ、あわ,거품 포,
1839,胞,,肉,9,S,,,ホウ,세포 포,1.태의(胎衣) 2.배 3.원형질 4.어머니의체내
1840,俸,,人,10,S,1981,,ホウ,녹 봉,
1841,倣,,人,10,S,,,ホウ、なら-う,본뜰 방,1.본받다 2.흉내내다
1842,峰,,山,10,S,,,ホウ、みね,봉우리 봉,
1843,砲,,石,10,S,,,ホウ,대포 포,대포
1844,崩,,山,11,S,,,ホウ、くず-れる、くず-す,무너질 붕,1.무너지다 2.임금의죽음 3.무너뜨리다
1845,訪,,言,11,6,,,ホウ、おとず-れる、たず-ねる,찾을 방,1.찾다 2.방문하다
1846,報,,土,12,5,,,ホウ、むく-いる,갚을 보,1.갚다 2.앙갚음하다 3.결과 4.알리다 5.답례하다
1847,蜂,,虫,13,S,2010,,ホウ、はち,벌 봉,벌
1848,豊,豐,豆,13,5,,,ホウ、ゆた-か,풍년 풍,1.풍부함 2.오곡(五穀)의결실이좋음 3.풍년
1849,飽,,食,13,S,,,ホウ、あ-きる、あ-かす,배부를 포,1.물리다 2.꽉차다 3.실컷먹다 4.배부르다
1850,褒,,衣,15,S,1981,,ホウ、ほ-める,기릴 포,칭찬하다
1851,縫,,糸,16,S,,,ホウ、ぬ-う,꿰맬 봉,1.꿰매다 2.꾸며대다 3.깁다
1852,亡,,亠,3,6,,,ボウ、（モウ）、な-い,망할 망,1.멸망하다 2.죽다 3.잃다 4.도망치다 5.없음
1853,乏,,丿,4,S,,,ボウ、とぼ-しい,모자랄 핍,1.모자라다 2.가난하다 3.부족하다 4.적다
1854,忙,,心,6,S,,,ボウ、いそが-しい,바쁠 망,1.바쁘다 2.당황하다 3.분주하다
1855,坊,,土,7,S,,,ボウ、（ボッ）,동네 방,1.승방 2.스님 3.남자아이 4.아가
1856,妨,,女,7,S,,,ボウ、さまた-げる,방해할 방,방해하다
1857,忘,,心,7,6,,,ボウ、わす-れる,잊을 망,1.잊다 2.저버리다 3.기억못하다
1858,防,,阜,7,5,,,ボウ、ふせ-ぐ,막을 방,1.둑 2.막다 3.지키다 4.조심하다 5.피해를막다
1859,房,,戶,8,S,,,ボウ、ふさ,방 방,
1860,肪,,肉,8,S,,,ボウ,살찔 방,굳기름
1861,某,,木,9,S,,,ボウ,아무 모,1.아무개 2.겸손의일인칭 3.어떤 4.저
1862,冒,,冂,9,S,,,ボウ、おか-す,무릅쓸 모,1.무릅쓰다 2.더럽히다 3.사칭하다 4.시작 5.감기
1863,剖,,刀,10,S,,,ボウ,쪼갤 부,1.째다 2.정하다 3.가르다 4.판단하다
1864,紡,,糸,10,S,,,ボウ、つむ-ぐ,길쌈 방,1.실을잣다 2.방사
1865,望,,月,11,4,,,ボウ、モウ、のぞ-む,바랄 망,1.바라보다 2.원하다 3.명예 4.미워하다 5.보름달
1866,傍,,人,12,S,,,ボウ、かたわ-ら,곁 방,
1867,帽,,巾,12,S,,,ボウ,모자 모,모자
1868,棒,,木,12,6,,,ボウ,막대 봉,1.막대기 2.멜대 3.그은줄 4.봉술 5.몽둥이
1869,貿,,貝,12,5,,,ボウ,무역할 무,1.물건을교환하다 2.매매하다
1870,貌,,豸,14,S,2010,,ボウ,모양 모,
1871,暴,,日,15,5,,,ボウ、（バク）、あば-く、あば-れる,사나울 폭,1.거칠다 2.거세다 3.무모한 4.나쁜 5.날뛰다
1872,膨,,肉,16,S,,,ボウ、ふく-らむ、ふく-れる,부풀 팽,1.부풀다 2.붓다
1873,謀,,言,16,S,,,ボウ、（ム）、はか-る,꾀 모,1.계략 2.책략
1874,頰,,頁,16,S,2010,,ほお,,1.뺨 2.볼
1875,北,,匕,5,2,,,ホク、きた,북녘 북/ 달아날 배,
1876,木,,木,4,1,,,ボク、モク、き、（こ）,나무 목,
1877,朴,,木,6,S,1981,,ボク,성씨 박,
1878,牧,,牛,8,4,,,ボク、まき,칠 목,1.목장 2.방목하다 3.목축을하는사람 4.인도함
1879,睦,,目,13,S,2010,,ボク,화목할 목,
1880,僕,,人,14,S,1981,,ボク,종 복,(남자의자칭)나
1881,墨,墨,土,14,S,,,ボク、すみ,먹 묵,1.먹 2.먹물 3.먹줄 4.'すみなわ'의준말 5.(오징어등의)먹물
1882,撲,,手,15,S,,,ボク,칠 박,1.때리다 2.부딪치다 3.멸망시키다 4.두드리다 5.아주없애다
1883,没,沒,水,7,S,,,ボツ,빠질 몰,1.물속으로가라앉다 2.묻히다 3.없어지다 4.숨다 5.죽다
1884,勃,,力,9,S,2010,,ボツ,우쩍 일어날 발,1.갑자기 2.갑자기일어나다 3.한창일어남 4.'勃牙利ブルガリア'의준말 5.벌컥
1885,堀,,土,11,S,1981,,ほり,굴 굴,
1886,本,,木,5,1,,,ホン、もと,근본 본,
1887,奔,,大,8,S,,,ホン,달릴 분,1.달리다 2.도망치다 3.사랑의도피행각 4.달아나다
1888,翻,,羽,18,S,,,ホン、ひるがえ-る、ひるがえ-す,번역할 번,1.나부끼다 2.뒤집다 3.바보취급하다 4.타국어로고치다 5.고쳐만들다
1889,凡,,几,3,S,,,ボン、（ハン）,무릇 범,
1890,盆,,皿,9,S,,,ボン,동이 분,1.쟁반 2.우란분(盂蘭盆) 3.음력7월15일전후에걸쳐조상의제사를지내는불사
1891,麻,,麻,11,S,,,マ、あさ,삼 마,1.삼 2.삼베 3.삼실
1892,摩,,手,15,S,,,マ,문지를 마,1.비비다 2.갈다 3.쓰다듬다 4.다가오다(가다) 5.마멸시키다
1893,磨,,石,16,S,1981,,マ、みが-く,갈 마,1.돌을갈다 2.힘써탐구함 3.문지르다 4.마멸시키다 5.비비다
1894,魔,,鬼,21,S,,,マ,마귀 마,
1895,毎,每,毋,6,2,,,マイ,매양 매,…마다
1896,妹,,女,8,2,,,マイ、いもうと,누이 매,1.누이동생 2.손아래시누이 3.처제 4.계수 5.여동생
1897,枚,,木,8,6,,,マイ,낱 매,1.하나하나씩세다 2.소리를내지못하도록입에물리는나무막대기
1898,昧,,日,9,S,2010,,マイ,어두울 매,1.어리석다 2.어슴푸레하다 3.새벽녘 4.위험한짓을함 5.모호하다
1899,埋,,土,10,S,,,マイ、う-める、う-まる、う-もれる,묻을 매,1.묻다 2.숨다 3.파묻히다
1900,幕,,巾,13,6,,,マク、バク,장막 막,1.장막 2.(무대의)막 3.장면 4.단락 5.'相撲すもう'의한계급인幕内まくうち
1901,膜,,肉,14,S,,,マク,꺼풀/막 막,1.(체내의장기를싸는)막 2.어떤물질의표면을덮어싸는엷은표피
1902,枕,,木,8,S,2010,,まくら,배게 침,1.베개 2.잠잘때머리를두는방향 3.(지탱하기위해)밑에받치는물건 4.머리말로하는짧은이야기 5.베갯머리
1903,又,,又,2,S,,,また,또 우,
1904,末,,木,5,4,,,マツ、バツ、すえ,끝 말,1.끝 2.(기간의)말 3.(일의)끝 4.앞날 5.막내
1905,抹,,手,8,S,1981,,マツ,지울 말,1.칠하다 2.지워없애다 3.가루 4.문지르다
1906,万,萬,艸,3,2,,,マン、バン,일만 만,1.수의이름 2.많은수 3.('ばん'이라고읽어서)모든 4.영구 5.혹시라도
1907,満,滿,水,12,4,,,マン、み-ちる、み-たす,찰 만,1.차다 2.충족하다 3.널리퍼지다 4.일정한기한·표준에달하다 5.둥글어지다
1908,慢,,心,14,S,,,マン,거만할 만,1.게으르다 2.깔보다 3.거만하다 4.느슨함 5.오래감
