찢을 렬,裂,れつ,さく、さける
청렴할 렴,廉,れん,
사냥 렵,猟,りょう,
하여금 령,令,れい,
거느릴 령,領,りょう,
방울 령,鈴,れい、りん,すず
떨어질 령/영 령,零,れい,
신령 령,霊,れい、りょう,たま
나이 령,齢,れい,
예도 례,礼,れい、らい,
법식 례,例,れい,たどえる
종 례,隷,れい,
길 로,路,ろ,じ
늙을 로,老,ろう,おいる、ふける
일할 로,労,ろう,
화로 로,炉,ろ,
사로잡을 로,虜,りょ,とりこ
이슬 로,露,ろ、ろう,つゆ
푸를 록,緑,りょく、ろく,みどり
기록할 록,録,ろく,
사슴 록,鹿,ろく,しか、か
산기슭 록,麓,ろく,ふもと
논할 론,論,ろん,
희롱할 롱,弄,ろう,もてあそぶ
비 올 롱,滝,,たき
대바구니 롱,籠,ろう,かご、こもる
우레 뢰,雷,らい,かみなり
뇌물 뢰,賂,ろ,まいない
의뢰할 뢰,頼,らい,たのむ、たのもしい、たよる
여울 뢰,瀬,,せ
헤아릴 료,料,りょう,
마칠 료,了,りょう,
동료 료,僚,りょう,
동관 료,寮,りょう,
병 고칠 료,療,りょう,
밝을 료,瞭,りょう,
용 룡,竜,りゅう,たつ
눈물 루,涙,るい,なみだ
여러/자주 루,累,るい,
보루 루,塁,るい,
다락 루,楼,ろう,
샐 루,漏,ろう,もる、もれる、もらす
흐를 류,流,りゅう、る,ながれる、ながす
무리 류,類,るい,
머무를 류,留,りゅう、る,とめる、とまる、とどまる
버들 류,柳,りゅう,やなぎ
유황 류,硫,りゅう,
맑은 유리 류,瑠,る,
뭍 륙,陸,りき,
바퀴 륜,輪,りん,わ
인륜 륜,倫,りん,
비율 률/거느릴 솔,率,りつ、そつ,ひきいる
법칙 률,律,りつ、りち,
떨릴 률,慄,りつ,
높을 륭 ,隆,りゅう,
언덕 릉,陵,りょう,みささぎ
다스릴 리,理,り,
마을 리,里,り,さと
이로울 리,利,り,きく
속 리,裏,り,うら
관리 리,吏,り,
이 리,厘,りん,
배나무 리,梨,り,なし
설사 리,痢,り,
밟을 리,履,り,はく
유리 리,璃,り,
떠날 리,離,り,はなれる、はなす
이웃 린,隣,りん,となり、となる
수풀 림,林,りん,はやし
임할 림,臨,りん,のぞむ
설 립,立,りつ、りゅう,たつ、たてる
낟알 립,粒,りゅう,つぶ
말 마,馬,ば,うま、ま
삼 마,麻,ま,あさ
문지를 마,摩,ま,
갈 마,磨,ま,みがく
마귀 마,魔,ま,
장막 막,幕,まく,
넓을/사막 막,漠,ばく,
꺼풀/막 막,膜,まく,
일만 만,万,まん、ばん,
찰 만,満,まん,みちる、みたす
늦을 만,晩,ばん,
오랑캐 만,蛮,ばん,
물굽이 만,湾,わん,
흩어질 만,漫,まん,
거만할 만,慢,まん,
끝 말,末,まつ、ばつ,すえ
지울 말,抹,まつ,
바랄 망,望,ぼう、もう,のぞむ
망할 망,亡,ぼう、もう,ない
잊을 망,忘,ぼう,わすれる
바쁠 망,忙,ぼう,いそがしい
망령될 망,妄,もう,
그물 망,網,もう,あみ
매양 매,毎,まい,
팔 매,売,ばい,うる、うれる
누이 매,妹,まい,いもうと
살 매,買,ばい,かう
매화 매,梅,ばい,うめ
낱 매,枚,まい,
어두울 매,昧,まい,
묻을 매,埋,まい,うめる、うまる、うもれる
중매 매,媒,ばい,
매혹할 매,魅,み,
꾸짖을 매,罵,ば,ののしる
보리 맥,麦,ばく,むぎ
줄기 맥,脈,みゃく,
맹세 맹,盟,めい,
소경/ 눈 멀 맹,盲,もう,
사나울 맹,猛,もう,
낮 면,面,めん,おも、おもて、つら
힘쓸 면,勉,べん,
솜 면,綿,めん,わた
면할 면,免,めん,まぬかれる
잘 면,眠,みん,ねむる、ねむい
밀가루 면,麺,めん,
꺼질/ 멸할 멸,滅,めつ,ほろびる、ほろぼす
업신여길 멸,蔑,べつ,さげすむ
이름 명,名,めい、みょう,な
밝을 명,明,みょう、めい,あかり、あかるい、あかるむ、あからむ、あきらか、あくる、あける、あく、あかす
울 명,鳴,めい,なる、なく、ならす
그릇 명,皿,,さら
목숨 명,命,めい、みょう,いのち
어두울 명,冥,めい、みょう,
새길 명,銘,めい,
터럭 모,毛,もう,け
어머니 모,母,ぼ,はは
본뜰 모,模,も、ぼ,
저물 모,暮,ぼ,くれる、くらす
창 모,矛,む,ほこ
업신여길 모,侮,ぶ,あなどる
무릅쓸 모,冒,ぼう,おかす
아무 모,某,ぼう,
소모할 모,耗,もう、こう,へらす、へる
모을/뽑을 모,募,ぼ,つのる
모자 모,帽,ぼう,
그릴 모,慕,ぼ,したう
모양 모,貌,ぼう,かお、かたち
꾀 모,謀,ぼう、む,はかる
나무 목,木,もく、ぼく,き、こ
눈 목,目,もく、ぼく,め、ま
칠 목,牧,ぼく,まき
화목할 목,睦,ぼく,むつまじい
빠질 몰,没,ぼつ,
꿈 몽,夢,む,ゆめ
무덤 묘,墓,ぼ,はか
묘할 묘,妙,みょう,
모 묘,苗,びょう、みょう,なえ、なわ
이랑 묘,畝,,うね、せ
그릴 묘,描,びょう,えがく、かく
고양이 묘,猫,びょう,ねこ
없을 무,無,む、ぶ,ない
호반 무,武,ぶ、む,
힘쓸 무,務,む,つとめる、つとまる
무역할 무,貿,ぼう,
무성할 무,茂,も,しげる
춤출 무,舞,ぶ,まう、まい
안개 무,霧,む,きり
먹 묵,墨,ぼく,すみ
잠잠할 묵,黙,もく,だまる
글월 문,文,ぶん、もん,ふみ
문 문,門,もん,かど
들을 문,聞,ぶん、もん,きく、きこえる
물을 문,問,もん,とう、とん
모기 문,蚊,,か
무늬 문,紋,もん,
물건 물,物,ぶつ、もつ,もの
쌀 미,米,べい、まい,こめ
아름다울 미,美,び,うつくしい
맛 미,味,み,あじ、あじわう
아닐 미,未,み,
미혹할 미,迷,めい,まよう
꼬리 미,尾,び,お
미륵 미,弥,み,や
눈썹 미,眉,び、み,まゆ
작을 미,微,び,
수수께끼 미,謎,,なぞ
백성 민,民,みん,たみ
민감할 민,敏,びん,
빽빽할 밀,密,みつ,
꿀 밀,蜜,みつ,
넓을 박,博,はく、ばく,
성씨 박,朴,ぼく,
머무를/ 배 댈 박,泊,はく,とまる、とめる
칠 박,拍,はく、ひょう,
핍박할 박,迫,はく,せまる
벗길 박,剝,はく,はがす、はぐ、はがれる、むく
배 박,舶,はく,
칠 박,撲,ぼく,
엷을 박,薄,はく,うすい、うすまる、うすめる、うすらぐ、うすれる、すすき、せまる
얽을 박,縛,ばく,しばる
반 반,半,はん,なかば
돌이킬 반,反,はん、ほん、たん,そる、そらす
돌이킬 반,返,へん,かえす、かえる
밥 반,飯,はん,ぬし
나눌 반,班,はん,
짝 반,伴,はん、ばん,ともなう
밭두둑 반,畔,はん,あぜ、ほとり
일반 반,般,はん,
얼룩 반,斑,はん,まだら、ぶち
옮길 반,搬,はん,
나눌 반,頒,はん,
소반 반,盤,ばん,
필 발,発,はつ,
뽑을 발,抜,ばつ,ぬかす、ぬく、ぬける、ぬかる
우쩍 일어날 발,勃,ぼつ,おこる
바리때 발,鉢,はち,
터럭 발,髪,はつ,かみ
모 방,方,ほう,かた
놓을 방,放,ほう,はなつ、はなれる、はなす、ほうる
찾을 방,訪,ほう,おとずれる、たずねる
막을 방,防,ぼう,ふせぐ
방해할 방,妨,ぼう,さまたげる
나라 방,邦,ほう,くに
꽃다울 방,芳,ほう,かんばしい、よし
동네 방,坊,ぼう、ぼっ,
방 방,房,ぼう,ふさ
살찔 방,肪,ぼう,
본뜰 방,倣,ほう,ならう
길쌈 방,紡,ぼう,つむぐ
곁 방,傍,ぼう,かたわら、そば
나눌 배,配,はい,くばる
곱 배,倍,ばい,
절 배,拝,はい,おがむ
등 배,背,はい,せ、せい、そむく、そむける
배우 배,俳,はい,
잔 배,杯,はい,さかずき
배척할 배,排,はい,
모실 배,陪,ばい,
배양할 배,培,ばい,つちかう
무리 배,輩,はい,
물어줄 배,賠,ばい,
흰 백,白,はく、びゃく,しる、しら、しろい
일백 백,百,ひゃく,
맏 백,伯,はく,
차례 번,番,ばん,
번성할 번,繁,はん,
번거로울 번,煩,はん、ぼん,わずらう、わずらわす、わずらわしい
울타리 번,藩,はん,まがき
번역할 번,翻,ほん,ひるがえる、ひるがえす
칠 벌,伐,ばつ,うつ、きる
벌할 벌,罰,ばつ、ばち,
문벌 벌,閥,ばつ,
범할 범,犯,はん,おかす
무릇 범,凡,はん、ぼん,およそ、すべて
넘칠 범,氾,はん,
넓을 범,汎,はん,
돛 범,帆,はん,ほ
법 범,範,はん,のり
법 법,法,ほう、ほっ、はっ,
벽 벽,壁,へき,かべ
버릇 벽,癖,へき,くせ
구슬 벽,璧,へき,
